t,lx,ly,lz,ax,ay,az,lvx,lvy,lvz,avx,avy,avz,lax,lay,laz,aax,aay,aaz,target_lx,target_ly,target_lz,target_ax,target_ay,target_az,target_lvx,target_lvy,target_lvz,target_avx,target_avy,target_avz,target_lax,target_lay,target_laz,target_aax,target_aay,target_aaz
21.0,0.0008605597481091832,-0.0007857877021753161,0.2462195975295671,0.000511877211167286,0.0011171998507067042,-0.00023202800460257243,-0.14531665994475815,0.017951881150200973,-0.13857647476493068,-0.018015828384641254,-0.10650476075036577,0.0001386034596906223,-0.8317623236151513,0.4773457954336047,12.990478001165325,-0.5970982880371525,-1.1767305826444465,-0.10952731753733348,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0014236899184242994,-0.0008475580213474016,0.24675419634550616,0.0005482659579604788,0.0014454995156966124,-0.0002400618460527994,-0.1368529781655161,0.015213902546336533,-0.14634064335066757,-0.01452639356749559,-0.09765040784248806,0.0005314488157938715,-1.5059159228823489,0.5628258312072408,8.533955416260966,-0.679163726056618,-1.5912753592161162,-0.08584961829204969,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0019398175190592393,-0.0008959717420799211,0.24716797348179398,0.0005733547664246303,0.0017505518185993634,-0.00024758780151683154,-0.12625771276726558,0.012246773730263422,-0.14038034532014898,-0.011111203805878692,-0.08850773655452626,0.0007139818746705669,-2.0985762240798693,0.6291378824975026,4.649985766823444,-0.7331193971136181,-1.919041081470623,-0.05639031359086434,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0024032109681283663,-0.0009307766232540967,0.24745109825373607,0.0005901635608471888,0.0020374439905663003,-0.000253849202960636,-0.1139336079015006,0.00914290541288064,-0.12483144434311987,-0.007855933709529164,-0.07929252170277495,0.0006935779117438002,-2.6018047936967035,0.6755004457686853,1.437904440366206,-0.7619088369684212,-2.1688425990623155,-0.023844802830099616,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0028092723222083314,-0.0009520255882022582,0.24760827273743843,0.0006006520652258441,0.0023075452396959313,-0.00025819186389208743,-0.10026115962411591,0.00598877315516857,-0.10345230903860715,-0.00479783228511789,-0.07007308975520579,0.0004887098157211528,-3.0120985210982743,0.7019560725012162,-1.062557723982018,-0.7693685197876073,-2.3523909591793286,0.009194138285553224,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.003154501987469859,-0.0009600453676447577,0.24765468484899553,0.000605633063322415,0.002558834868432486,-0.00026007193002333423,-0.08559472929616223,0.002863218042185982,-0.07946334946042843,-0.0019370534886595516,-0.06081445699295759,0.00012613179915612545,-3.3295449892920495,0.7092419124557374,-2.862754653930829,-0.7595903109773225,-2.482072130021813,0.0403985789217375,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.003436463582133922,-0.0009554047302266594,0.24761206074870654,0.0006048995294263077,0.0027866825543109283,-0.0002590698243399666,-0.07026120901247072,-0.0001636184855757119,-0.055454450587671324,0.0007491888486106684,-0.051426699905256876,-0.0003616932820979734,-3.5569808929950164,0.6986503083814198,-4.014626590833313,-0.736394031562527,-2.569172058105745,0.0678201331906674,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.003653746941430872,-0.0009388825688543676,0.24750511039659676,0.0005975006938780054,0.0029848622884446987,-0.0002549056417312414,-0.054560332894166966,-0.00303085286530666,-0.033353794664794,0.0032922296588243217,-0.04181002575094942,-0.0009389056509324261,-3.699216864974733,0.6718903975412601,-4.599379338789388,-0.7029577710217213,-2.6226765019469793,0.08995970371097266,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.0038059281454640515,-0.0009114361893475354,0.2473585690559224,0.0005820942824375492,0.0031466107885521895,-0.00024745148934588633,-0.03876590889070968,-0.005687029337332568,-0.014448419587990162,0.0057194520990795986,-0.03189120581552657,-0.0015683124976432635,-3.7623683892940023,0.6309588082237867,-4.716324570037462,-0.6616244166028176,-2.648674447923779,0.10579742639803143,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0038935259414324534,-0.0008741701606946018,0.24719494588276197,0.0005573074136202437,0.003265586787480235,-0.00023673725616093645,-0.023127423624136105,-0.008090005650334601,0.0005550805396038585,0.008045128761396143,-0.021648399285968657,-0.0022132207212912057,-3.7533122085460535,0.5780247901926131,-4.4726560180813655,-0.6138762195131557,-2.650311598513527,0.11478924807206804,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
